codigo_proveedor,nombre
GRUN,GRUNENTHAL
GRUP,GRUPO 4 DISTRIBUCIONES
GUIP,GUINEA (PROVEEDOR)
HACA,DISTRIBUIDORA HABABOD
HANA,HANAI SRL
HASB,HASBRO
HE,HERBALIFE PERU SRL
HER,HERSHEY FOODS CORPORATION
HERB,HERBALIFE PERU SRL
HILL,HILLINGDON INVESTMEN.DEL PERU
HOEP,HOECHET PERFUMERIA
HWE,HIGHWAY ENTERPRISE SRL.
IBER,FAB DE CHOCOLATES LA IBERICA S A
IGAR,IGARASHI-ASCENICO S.R.L.
IGUI,IGUIOSHI E.I.R.L.
IMAC,FARMACIA IMACULADA
IMDE,IMDELTA Y CORZO S.A.C.
IMG,IMPORTADORA GLOBAL MEDICAL SOCIEDAD ANON
IMPO,IMPORTACIONES SAN ANDRES S.A.
INER,INERIC FARMA S.R.L.
INKA,INRETAIL PHARMA S.A.
INKO,PEREZ PALOMINO VERONICA
INLI,INTERNATIONAL LIQUORS & F.D.S.
INMU,IMMUNOTEC PERU SAC
INRE,INREDI S.A.
INTE,INTERNATIONAL DISTRIBUTORS
INTI,INTISOL
IREN,INSTITU DE ENFERMEDADES NEOPLASICAS
ITAL,ITALO ESPA¥OLA DEL P.S.R.LTDA.
ITEJ,TEJADA BENAVIDES ELLIOT HERMES
J&J,DROGUERIA J & J E.I.R.L.
J&JQ,J.J. QUIROZ DISTRIBUCIONES
J&M,J&M ESPECIALIDAD FARMACEUTICA S.A.C.
JADI,JADIN IMPORT E.I.R.L.
JASS,JASS DISTRIBUCIONES SRL
JEKA,JEKA DISTRIBUCIONES
JENS,JENSA
JERO,FARMACIA SAN JERONIMO
JESU,TECNICA Y DESARROLLO E.I.R.L.
JESV,JESVEL S.A DISTRIBUIDOR
JEUN,JEUNESSE
JONE,JONEL
JORV,COMERCIAL JORVAL
JUNI,IMPORT & EXPORT MILUZ E.I.R.L.
JUST,SWISSJUST LATINOAMERICA S.A. SUCURSAL PE
K&L,K & L IMPORT-EXPORT S.R.L
K&S,K&S COMPANY S.R.L.
KAHA,DROGUERIA KAHAN S.A.
KAV,DROGERIA KAVA AQP S.A.C.
KERO,KEROS AQP EMPRESA INDIVIDUAL DE RESPONSA
KEZ,KEZER-LAB SOCIEDAD ANONIMA CERRADA - KEZ
KLFA,LEON PACORE KARINA ANGELICA
KLID,K-LIDAD DISTRIBUCIONES
KOLP,KOLPING
KOLY,COMERCIAL KOLYNOS
KOSM,DISTRIBUIDORA KOSMOS S.A.
KPI,KP INGENIERIA LOGISTICA PERU S.A.C.
KREA,KOLA REAL
KUNI,COMERCIAL KUNIYOSHI SRLTDA.
LABM,LAB MEDICAS S.A.C.
LABO,LABORETIC S.A.
LAFR,LAFRANCOL
LAGA,DISTRIBUIDORA LAGA S.R.L.
LAOF,LABORATORIOS OFTALMICOS
LAQU,LAQUIFAZA
LATI,LATINEX
LBF,LABOFTA S.A.C.
LENT,GUSTAVO LENTS
LGST,LOGISTICS ONE SOCIEDAD ANONIMA CERRADA
LIDA,DROGUERIA LID'AR S.A.
LIDF,QUISPE TINTAYA LIDIA MARY
LIFE,ECO LIFE S.A.C.
LILI,LINEA JUGUETES
LIMA,PROVEEDORES VARIOS
LM,LM DISTRIBUCIONES
LORE,LOREAL PERU S.A
LOUR,FARMACIA LOURDES
LPOR,LABORATORIOS PORTUGAL S.R.L
LUAN,LUANA DISTRIBUCIONES
LUCS,SAN ROMAN ORAMS DE VALENCIA LUCIA BEATRI
LUPA,LUPANE E.I.R.L
LUSA,LABORATORIOS UNIDOS S.A.
M&M,M&M-MARS
M.CS,M.C.SERVICE
MACC,DISTRIBUIDORA MACCUA S.R.LTDA.
MAES,MAESTRANI
MAG,MAGELLAN TRADING PERU S.A.C
MAGM,MAGMA
MAMD,MARTIN MEDICAL DISTRI S.A.C.
MARF,MARFAN
MATE,MATERIALES MEDICOS
MATT,MATELL DISTRIBUIDORA
MATY,MATTY IMPORT EIRL
MAUR,IMPORT.MAURICIO E.I.R.LTDA
MAVI,MASTER VISION E.I.R.L.
MED,MEDISCIENCE SAC
MEDC,CORPORACION MEDCO
MEDS,MEDSTYLE PERUANA S.A.C.
MEGA,MEGA
MEJI,MEJIA CLUB
METR,METROPOLITANA S.R.L.
MEVA,MEVA FARMA SAC
MFIT,MANUEL MESTAS HERNAN ELMER
MIFA,MIFARMA S.A.C.
MILE,MILENIUM PLUS S.A
MM,M & M PRODUCTOS MEDICOS Y FARMACEUTICOS 
MOLI,MOLITALIA S.A.
MON,MONTSSERRAT S.A.C
MONA,DEVOLUCIONES DE CLIENTES
MONS,SER.MED.ASOC.MONSERRAT
MPHA,DRUGSTORE M PHARMA S.A.C.
MTCH,TECHMED IMPORT S.A.C.
NABI,MORAN DISTRIBUCIONES NABISCO
NACE,NATURAL CENTER S.R.L DISTR.
NAOS,NAOS PERU S.A.C.
NATE,NATEL
NAVS,NAVSAT PERU SAC
NECS,NECSA NEGOCIOS CORPORTIVOS S.A
NEGE,NEGESAL E.I.R.L.
NEGS,NEGESAP E.I.R.L
NEOM,CORPORACION NEOMEDITEC PERU E.I.R.L.
NEST,NESTLE PERU S.A.
NEYR,NEYRA INVERSIONES E.I.R.LTDA.
NGL,NGL Y CIA. S.A IMPORT.DISTRIB.
NIME,NIMEXIN BUSINESS SAC
NINE,NINET
NOLO,INDUSTRIAS NOLOSTI
NORD,NORDIC NATURALS LATIN AMÉRICA (NNLA)
NORO,NORO S.A.
NORP,NORDIC PHARMACEUTICAL COMPANY S.A.C
NOVA,NOVARTIS
NOVO,NOVO Y HASBRO PERU IMPORT S.A.
NSIS,NEGOCIACIONES SERVICIOS E IMPRESOS SA
NUF,NUTRAFAR S.A.C.
NUSK,NU SKIN PERU SAC
NVMI,NOVEDADES MINKELLY E.I.R.L.
OMEG,OMEGA DISTRIBUIDORA S.A.
OMNI,OMNIUM IMPORT EXPORT S.R.LTDA.
OPTI,OPTIMA S.A
ORGO,ORTOPEDIA GOYENECHE
ORI,ORIANK S.A.C.
ORIO,ORION
ORME,V. ORME¥O E.I.R.L.
ORQU,ORLANDO QUINTANILLA DISTRIB.
ORT,URQUIZO ARZUBIALDE MARGARITA JULIETA
ORTO,ORTOPEDIA GLINSA S.A
OTCF,OTC FARMINDUSTRIA
PACO,INDUSTRIAS PACOCHA S.A.
PAL,PALMIRA DISTRIBUCIONES SAC
PALA,PALAO DRG. S.C.R.LTDA.
PALM,PALMYRA DISTRIBUCIONES S.A.C.
PAN3,PANORAMA F3
PAN4,PANORAMA
PANO,PANORAMA LINEA VARIADA
PANT,PANTO GROUP S.A.C
PATE,PATENTMODELL LINE BIGUTERIE
PAZ,FARMACIA LA PAZ
PB F,PB FARMA S.A.C.
PDIS,P & P DISMAT MEDIC E.I.R.L.
PECH,PECACHON
PEFA,PERUFARMA S A
PERG,PERUGEN LABORATORI0
PERI,PERIFARM S.A.C.
PERS,PERSONITAS S.R.L.
PERU,PERULAB S.A
PFIZ,PFIZER S.A.
PHSO,PHARMA SOLUTIONS SHOP S.A.C
PIER,CREACIONES PIERINA E.I.R.LTDA.
PLAC,PLACENTA LABORATORIOS E.I.R.L.
PLAS,PIEL & LASER S.R.L.
PORT,DROGUERIA PORTUGAL
PRAN,PRANA MEDIC S.A.C.
PRCF,PROCOMFA
PRDI,PRO DISTRIBUTION S.A.C.
PRIM,PRIME MEDICAL E.I.R.L
